Anime,Release_date,Length,Genre,Rating
Boruto: Naruto Next Generations,(2017- ),23,"Animation, Action, Adventure",6.5
"Bastard‼ -Heavy Metal, Dark Fantasy-",(2022-2023),25,"Animation, Action, Adventure",6.5
My Stepmom's Daughter Is My Ex,-2022,23,"Animation, Comedy, Romance",6.5
"Hachi-nan tte, Sore wa Nai deshou!",-2020,24,"Animation, Action, Adventure",6.5
Record of Ragnarok,(2021- ),24,"Animation, Action, Adventure",6.4
Kaifuku Jutsushi no Yarinaoshi,-2021,24,"Animation, Action, Adventure",6.4
Ghost in the Shell SAC_2045,(2020- ),25,"Animation, Action, Crime",6.4
Plunderer,-2020,24,"Animation, Action, Fantasy",6.4
Toraburu,(2008-2010),24,"Animation, Action, Comedy",6.4
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",-2023,NA,"Animation, Action, Adventure",6.4
Ore dake Haireru Kakushi Dungeon,-2021,24,"Animation, Action, Adventure",6.4
I've Been Killing Slimes for 300 Years and Maxed Out My Level,(2021- ),24,"Animation, Action, Adventure",6.4
Blade Runner: Black Lotus,(2021-2022),NA,"Animation, Action, Drama",6.3
Isekai Meikyuu de Harem o,-2022,24,"Animation, Action, Adventure",6.3
Yasuke,-2021,30,"Animation, Action, Adventure",6.2
Ikki Tousen,(2003- ),325,"Animation, Action, Adventure",5.9
Bakugan Savaşçıları,(2007-2011),22,"Animation, Action, Adventure",5.7
Seinto Seiya: Knights of the Zodiac,(2019-2022),24,"Animation, Action, Adventure",4.6
